dataset,taxa,sites,windows,taxa_sites,cpu_seconds,gpu_seconds
100132916_NT_AL,157,486,2,76302,491.43874070688406,429.68862731348315
100132963_NT_AL,128,285,2,36480,234.95695081370252,205.43421043217563
100133315_NT_AL,35,1134,5,39690,255.6316167158951,223.51106940934898
100133941_NT_AL,70,249,1,17430,112.26150363713911,98.15565481997865
10013_NT_AL,156,3867,16,603252,3885.368708669618,3397.1655238933886
10015_NT_AL,159,2685,11,426915,2749.6339544032844,2404.1377726604237
100169851_NT_AL,125,300,2,37500,241.5264708200067,211.1782590791279
100170765_NT_AL,155,501,2,77655,500.1530157740699,437.3079389010581
100188893_NT_AL,148,222,1,32856,211.61583267365708,185.0259434747687
10018_NT_AL,157,633,3,99381,640.083791908349,559.6561750811416
10020_NT_AL,162,2169,9,351378,2263.1223537011283,1978.7571818321549
10022_NT_AL,142,432,2,61344,395.09866202619975,345.4538433320006
10024_NT_AL,161,2988,12,481068,3098.4175003850396,2709.096073031411
10026_NT_AL,156,1206,5,188136,1211.7286430451409,1059.4728786696214
100271715_NT_AL,159,2706,11,430254,2771.1394713650975,2422.941084848829
100271849_NT_AL,14,1143,5,16002,103.06417562831327,90.11398671424546
100272147_NT_AL,149,210,1,31290,201.5296872522136,176.20713937562434
100287284_NT_AL,150,1023,4,153450,988.3263185954675,864.1414361517914
100287718_NT_AL,156,606,3,94536,608.878571878404,532.3719440081182
100288072_NT_AL,149,3141,13,468009,3014.3083221866805,2635.555356089695
100288814_NT_AL,85,627,3,53295,343.25742032939354,300.1265418032566
100303755_NT_AL,151,243,1,36693,236.32882116796017,206.63370294374508
100310846_NT_AL,151,1269,5,191619,1234.161621654903,1079.087115372891
100316904_NT_AL,155,984,4,152520,982.3364621191313,858.904215326629
100329135_NT_AL,140,378,2,52920,340.84215562119346,298.0147592124653
10036_NT_AL,157,2949,12,462993,2982.0017414497966,2607.3081521552713
100381270_NT_AL,125,2985,12,373125,2403.1883846590667,2101.2236778373226
10038_NT_AL,160,1689,7,270240,1740.5363593172963,1521.8350062278273
